Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Cause of Death;Senator;Service in Senate;Notes;Language Preference;erro
John H. Munroe, M.P.;1820;Williamsburg Township, Canada West;1885-01-25;real estate agent, real estate broker;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;;;
Charles Arthur Munson, M.P.;1857-01-14;Cobourg, Canada West;1922-05-19;politician;3729 days [10 year(s), 2 month(s), 16 day(s)];(1911-09-21 - 1917-12-16)|(1917-12-17 - 1921-12-05);3729 days [10 year(s), 2 month(s), 16 day(s)];;;;;;
The Hon. Jim Munson, Senator;;Woodstock, New Brunswick, Canada;;public affairs consultant, journalist;6426 days [17 year(s), 7 month(s), 4 day(s)];;;;(2003-12-10 - 2021-07-13);6426 days [17 year(s), 7 month(s), 4 day(s)];;;
The Hon. James Murdock, P.C., M.P., Senator;1871-08-15;Brighton, England;1949-05-15 (Died in Office);union officer, trainman;8376 days [22 year(s), 11 month(s), 6 day(s)];(1922-01-19 - 1925-10-28);1379 days [3 year(s), 9 month(s), 9 day(s)];;(1930-03-20 - 1949-05-15);6997 days [19 year(s), 1 month(s), 27 day(s)];;;
Brian Murphy, M.P.;1961-03-17;Moncton, New Brunswick, Canada;;lawyer;1925 days [5 year(s), 3 month(s), 8 day(s)];(2006-01-23 - 2011-05-01);1925 days [5 year(s), 3 month(s), 8 day(s)];;;;Knight of the Ordre des Lettres et des Arts of France;;
The Hon. Charles Murphy, P.C., M.P., Senator;1863-12-08;Ottawa, Ontario, Canada;1935-11-24 (Died in Office);lawyer;9870 days [27 year(s), 8 day(s)];(1908-10-26 - 1921-12-28)|(1922-01-19 - 1925-09-04);6137 days [16 year(s), 9 month(s), 19 day(s)];;(1925-09-05 - 1935-11-24);3733 days [10 year(s), 2 month(s), 20 day(s)];;;
Charles Terrence Murphy, Q.C., M.P.;1926-10-19;Sault Ste Marie, Ontario, Canada;2008-07-12;barrister and solicitor, lawyer;1588 days [4 year(s), 4 month(s), 5 day(s)];(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;;;;
The Hon. Edward Murphy, Senator;1818-07-26;County Carlow, Ireland;1895-12-05 (Died in Office);salesman, businessman;2381 days [6 year(s), 6 month(s), 7 day(s)];;;;(1889-05-30 - 1895-12-05);2381 days [6 year(s), 6 month(s), 7 day(s)];;;
Henry Joseph Murphy, M.P.;1921-02-09;Moncton, New Brunswick, Canada;2006-11-26;barrister;1694 days [4 year(s), 7 month(s), 20 day(s)];(1953-08-10 - 1958-03-30);1694 days [4 year(s), 7 month(s), 20 day(s)];;;;;;
John William Murphy, M.P.;1937-08-26;Halifax, Nova Scotia, Canada;2024-06-12;professor, psychiatric-social worker, lecturer, administrator (health services);1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;;;
Joseph Warner Murphy, M.P.;1892-12-21;Kent County, Ontario, Canada;1977-07-03;farmer, gentleman, lawyer;6216 days [17 year(s), 7 day(s)];(1945-06-11 - 1962-06-17);6216 days [17 year(s), 7 day(s)];;;;;;
The Hon. Patrick Charles Murphy, Senator;1868-09-14;Kinkora, Prince Edward Island, Canada;1925-03-06 (Died in Office);physician;4490 days [12 year(s), 3 month(s), 16 day(s)];;;;(1912-11-20 - 1925-03-06);4490 days [12 year(s), 3 month(s), 16 day(s)];;;
Rodney Edward Murphy, M.P.;1946-10-16;Winnipeg, Manitoba, Canada;;teacher;5270 days [14 year(s), 5 month(s), 5 day(s)];(1979-05-22 - 1993-10-24);5270 days [14 year(s), 5 month(s), 5 day(s)];;;;;;
The Hon. Shawn Murphy, P.C., K.C., M.P.;1951-07-27;Charlottetown, Prince Edward Island, Canada;;lawyer;3808 days [10 year(s), 5 month(s), 4 day(s)];(2000-11-27 - 2004-06-27)|(2004-06-28 - 2011-05-01);3808 days [10 year(s), 5 month(s), 4 day(s)];;;;;;
The Hon. Thomas Gerow Murphy, P.C., M.P.;1883-10-29;Northumberland County, Ontario, Canada;1971-04-07;pharmacist;2206 days [6 year(s), 15 day(s)];(1925-10-29 - 1926-09-13)|(1930-07-28 - 1930-08-06)|(1930-08-25 - 1935-10-13);2206 days [6 year(s), 15 day(s)];;;;;;
William Samuel Murphy, M.P.;1882-02-12;Portland, Ontario, Canada;1961-04-29;physician;364 days [, 11 month(s), 29 day(s)];(1929-07-29 - 1930-07-27);364 days [, 11 month(s), 29 day(s)];;;;;;
Alexander Clark Murray, M.P.;1900-07-24;West Zorra Township, Ontario, Canada;1983-11-28;pharmacist;1505 days [4 year(s), 1 month(s), 14 day(s)];(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];;;;;;
George Matheson Murray, M.P.;1889-07-27;Woodstock, Ontario, Canada;1961-08-19;editor, journalist;1505 days [4 year(s), 1 month(s), 14 day(s)];(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];;;;;;
Ian Murray, M.P.;1951-05-07;Sarnia, Ontario, Canada;;public affairs executive;2590 days [7 year(s), 1 month(s), 3 day(s)];(1993-10-25 - 2000-11-26);2590 days [7 year(s), 1 month(s), 3 day(s)];;;;;;
The Hon. Joyce Murray, P.C., M.P.,;;;;businesswoman, politician;6251 days [17 year(s), 1 month(s), 12 day(s)];(2008-03-17 - 2025-04-27);6251 days [17 year(s), 1 month(s), 12 day(s)];;;;;;
The Hon. Lowell Murray, P.C., Senator;1936-09-26;New Waterford, Nova Scotia, Canada;;senior public servant;11702 days [32 year(s), 14 day(s)];;;;(1979-09-13 - 2011-09-26);11702 days [32 year(s), 14 day(s)];;;
Thomas Murray, M.P.;1836-01-18;Goulbourn Township, Upper Canada;1915-07-29;contractor, merchant;1889 days [5 year(s), 2 month(s), 2 day(s)];(1891-03-05 - 1892-05-09)|(1900-11-07 - 1904-11-02);1889 days [5 year(s), 2 month(s), 2 day(s)];;;;;;
William Murray, M.P.;1839-06-17;Goulbourn Township, Upper Canada;1898-07-15;merchant;265 days [, 8 month(s), 22 day(s)];(1874-11-04 - 1875-07-26);265 days [, 8 month(s), 22 day(s)];;;;;;
The Hon. Jack Burnett Murta, P.C., M.P.;1943-05-13;Carman, Manitoba, Canada;;farmer;6580 days [18 year(s), 6 day(s)];(1970-11-16 - 1988-11-20);6580 days [18 year(s), 6 day(s)];;;;;;
Leslie Alexander Mutch, M.P.;1897-01-14;Crystal City, Manitoba, Canada;1977-01-07;agent, teacher, advertising executive;6510 days [17 year(s), 9 month(s), 27 day(s)];(1935-10-14 - 1953-08-09);6510 days [17 year(s), 9 month(s), 27 day(s)];;;;;;
Ephraim Bell Muttart, M.P.;1839-03-07;Cape Traverse, Prince Edward Island, Canada;1912-06-26;physician;1372 days [3 year(s), 9 month(s), 2 day(s)];(1878-09-17 - 1882-06-19);1372 days [3 year(s), 9 month(s), 2 day(s)];;;;;;
Edward Thomas Wordon Myers, M.P.;1879-09-15;Portland, Ontario, Canada;1962-03-14;physician;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;;;
John Howard Myers, M.P.;1880-09-23;Hampton, Prince Edward Island, Canada;1956-10-12;farmer;1904 days [5 year(s), 2 month(s), 17 day(s)];(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];;;;;;
Lynn Myers, M.P.;1951-05-25;Kitchener, Ontario, Canada;;teacher;3157 days [8 year(s), 7 month(s), 22 day(s)];(1997-06-02 - 2004-06-27)|(2004-06-28 - 2004-08-31)|(2004-09-01 - 2005-02-23)|(2005-02-24 - 2006-01-22);3157 days [8 year(s), 7 month(s), 22 day(s)];;;;;;
Richard Nadeau, M.P.;1959-04-05;Hawkesbury, Ontario, Canada;;teacher;1925 days [5 year(s), 3 month(s), 8 day(s)];(2006-01-23 - 2011-05-01);1925 days [5 year(s), 3 month(s), 8 day(s)];;;;;;
Joseph-Célestin Nadon, M.P.;1899-01-11;Sainte-Famille-d'Aumond, Quebec, Canada;1953-12-17 (Died in Office);jeweller;1516 days [4 year(s), 1 month(s), 25 day(s)];(1949-10-24 - 1953-12-17);1516 days [4 year(s), 1 month(s), 25 day(s)];;;;;;
The Hon. _ Nancy Ruth, Senator;1942-01-06;Toronto, Ontario, Canada;;activist, administrator;4306 days [11 year(s), 9 month(s), 14 day(s)];;;;(2005-03-24 - 2017-01-05);4306 days [11 year(s), 9 month(s), 14 day(s)];"For family relationships in the Parliament of Canada see ""Family Ties"" below.
Daughter of Harry Rutherford Jackman, MP (1940-1949)
Granddaughter of Newton Wesley Rowell, MP (1917-1921)
Sister of Henry Newton Rowell ""Hal"" Jackman, Lieutenant Governor of Ontario (1991-97)
Recipient of the Governor General’s Awards in Commemoration of the Persons Case in 1997.";;
Guillaume-Alphonse Nantel, M.P.;1852-11-04;Saint-Jérôme, Canada East;1909-06-03;journalist, lawyer;46 days [, 1 month(s), 16 day(s)];(1882-06-20 - 1882-08-04);46 days [, 1 month(s), 16 day(s)];;;;;;
Pierre Nantel, M.P.;1963-06-10;Salaberry-de-Valleyfield, Quebec, Canada;;commentator, researcher, artistic director;3094 days [8 year(s), 5 month(s), 20 day(s)];(2011-05-02 - 2015-10-18)|(2015-10-19 - 2019-10-20);3094 days [8 year(s), 5 month(s), 20 day(s)];;;;;;
The Hon. Wilfrid Bruno Nantel, P.C., M.P.;1855-11-08;Saint-Jérôme, Canada East;1940-05-22;lawyer;2185 days [5 year(s), 11 month(s), 24 day(s)];(1908-10-26 - 1914-10-19);2185 days [5 year(s), 11 month(s), 24 day(s)];;;;;;
Peggy Nash, C.M., M.P.;1951-06-28;Toronto, Ontario, Canada;;labour negociator, labour representative;2626 days [7 year(s), 2 month(s), 8 day(s)];(2006-01-23 - 2008-10-13)|(2011-05-02 - 2015-10-18);2626 days [7 year(s), 2 month(s), 8 day(s)];;;;;;
Edward Nasserden, M.P.;1919-04-06;Clarks Crossing, Saskatchewan, Canada;1995-11-13;farmer, executive director;3739 days [10 year(s), 2 month(s), 26 day(s)];(1958-03-31 - 1968-06-24);3739 days [10 year(s), 2 month(s), 26 day(s)];;;;Of Lebanese origin.;;
Eva Nassif, M.P.;;Ain el Dilb, Lebanon;;terminologist, nurse, translator, teacher;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;;;
John Nater, M.P.;1984-02-14;Stratford, Ontario, Canada;;lecturer, political assistant, policy analyst;3845 days [10 year(s), 6 month(s), 10 day(s)];(2015-10-19 - );3845 days [10 year(s), 6 month(s), 10 day(s)];;;;;English, French;
Henry Nathan, M.P.;1842-09-03;London, England;1914-02-05;businessman;790 days [2 year(s), 1 month(s), 30 day(s)];(1871-11-24 - 1872-07-19)|(1872-07-20 - 1874-01-21);790 days [2 year(s), 1 month(s), 30 day(s)];;;;;;
The Hon. Robert Daniel Nault, P.C., M.P.;1955-11-09;Sainte-Anne, Manitoba, Canada;;train conductor;7161 days [19 year(s), 7 month(s), 8 day(s)];(1988-11-21 - 2004-06-27)|(2015-10-19 - 2019-10-20);7161 days [19 year(s), 7 month(s), 8 day(s)];;;;;;
Charles Patrick (Paddy) Neale, M.P.;1921-01-01;Hamilton, Ontario, Canada;1990-02-09;secretary-treasurer;616 days [1 year(s), 8 month(s), 8 day(s)];(1972-10-30 - 1974-07-07);616 days [1 year(s), 8 month(s), 8 day(s)];;;;;;
Joseph Needham, M.P.;1876-03-23;Bromhall, Cheshire, England;1953-04-08;agent, secretary;1625 days [4 year(s), 5 month(s), 12 day(s)];(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];;;;;;
David Bradley Neely, M.P.;1873-12-18;Harkaway, Ontario, Canada;1925-05-04;physician;3339 days [9 year(s), 1 month(s), 22 day(s)];(1908-10-26 - 1917-12-16);3339 days [9 year(s), 1 month(s), 22 day(s)];;;;;;
Douglas Charles Neil, M.P.;1924-02-03;Lipton, Saskatchewan, Canada;1994-02-21;barrister and solicitor, author, lawyer;4327 days [11 year(s), 10 month(s), 5 day(s)];(1972-10-30 - 1984-09-03);4327 days [11 year(s), 10 month(s), 5 day(s)];;;;;;
Alan Webster Neill, M.P.;1868-10-06;Montrose, Scotland;1960-07-07;farmer, merchant;8588 days [23 year(s), 6 month(s), 4 day(s)];(1921-12-06 - 1945-06-10);8588 days [23 year(s), 6 month(s), 4 day(s)];;;;;;
The Hon. Joan Bissett Neiman, K.C., Senator;1920-09-09;Winnipeg, Manitoba, Canada;2022-11-27;lawyer;8409 days [23 year(s), 8 day(s)];;;;(1972-09-01 - 1995-09-09);8409 days [23 year(s), 8 day(s)];;;
The Hon. Hugh Nelson, M.P., Senator;1830-05-25;Larne, County Antrim, Ireland;1893-03-03;lumber merchant;3408 days [9 year(s), 3 month(s), 30 day(s)];(1871-12-13 - 1872-10-11)|(1872-10-12 - 1874-01-21);771 days [2 year(s), 1 month(s), 11 day(s)];;(1879-12-12 - 1887-03);2637 days [7 year(s), 2 month(s), 19 day(s)];;;
Nels Edwin Nelson, M.P.;1917-09-07;Mullan, Idaho, United States;1992-07-13;teacher;616 days [1 year(s), 8 month(s), 8 day(s)];(1972-10-30 - 1974-07-07);616 days [1 year(s), 8 month(s), 8 day(s)];;;;;;
Edward Walter Nesbitt, M.P.;1859-11-23;Holbrook, Canada West;1942-08-28;real estate agent, insurance agent;4789 days [13 year(s), 1 month(s), 11 day(s)];(1908-10-26 - 1921-12-05);4789 days [13 year(s), 1 month(s), 11 day(s)];;;;;;
Wallace Bickford (Wally) Nesbitt, Q.C., M.P.;1918-08-07;Woodstock, Ontario, Canada;1973-12-21 (Died in Office);barrister, lawyer;7439 days [20 year(s), 4 month(s), 12 day(s)];(1953-08-10 - 1973-12-21);7439 days [20 year(s), 4 month(s), 12 day(s)];;;;;;
Elias (Eli) Nesdoly, M.P.;1931-01-21;Blaine Lake, Saskatchewan, Canada;2013-07-25;school principal, teacher;616 days [1 year(s), 8 month(s), 8 day(s)];(1972-10-30 - 1974-07-07);616 days [1 year(s), 8 month(s), 8 day(s)];;;;;;
The Hon. Richard Neufeld, Senator;;Lethbridge, Alberta, Canada;;businessman, politician;3960 days [10 year(s), 10 month(s), 4 day(s)];;;;(2009-01-02 - 2019-11-05);3960 days [10 year(s), 10 month(s), 4 day(s)];;;
Hilaire Neveu, M.P.;1839-08-30;Saint-Ambroise-de-Kildare, Lower Canada;1913-07-10;farmer;778 days [2 year(s), 1 month(s), 18 day(s)];(1889-01-16 - 1891-03-04);778 days [2 year(s), 1 month(s), 18 day(s)];;;;;;
Louis-Paul Neveu, M.P.;1931-07-04;Saint-Césaire, Quebec, Canada;2017-12-14;insurance superintendent, life insurance agent;960 days [2 year(s), 7 month(s), 17 day(s)];(1965-11-08 - 1968-06-24);960 days [2 year(s), 7 month(s), 17 day(s)];;;;;;
The Hon. Anita Neville, P.C., M.P.;1942-07-22;Winnipeg, Manitoba, Canada;;public servant, economic development consultant;3808 days [10 year(s), 5 month(s), 4 day(s)];(2000-11-27 - 2004-06-27)|(2004-06-28 - 2011-05-01);3808 days [10 year(s), 5 month(s), 4 day(s)];;;;;;
The Hon. Mary Ng, P.C., M.P.;1969-12-16;;;senior public servant;2947 days [8 year(s), 25 day(s)];(2017-04-03 - 2025-04-27);2947 days [8 year(s), 25 day(s)];;;;;;
The Hon. Thanh Hai Ngo, Senator;;Vietnam;;diplomat, human rights activist, citizenship judge, educator;3407 days [9 year(s), 3 month(s), 29 day(s)];;;;(2012-09-06 - 2022-01-03);3407 days [9 year(s), 3 month(s), 29 day(s)];First Canadian of Vietnamese origin appointed to the Senate.;;
The Hon. John Lang Nichol, Senator;1924-01-07;Vancouver, British Columbia, Canada;2020-02-24;businessman;2612 days [7 year(s), 1 month(s), 25 day(s)];;;;(1966-02-24 - 1973-04-19);2612 days [7 year(s), 1 month(s), 25 day(s)];;;
The Hon. Frederic Nicholls, Senator;1855-11-22;London, England;1921-10-25 (Died in Office);;1740 days [4 year(s), 9 month(s), 5 day(s)];;;;(1917-01-20 - 1921-10-25);1740 days [4 year(s), 9 month(s), 5 day(s)];;;
Jamie Nicholls, M.P.;1971-10-15;Montreal, Quebec, Canada;;environmentalist, researcher, community activist;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;;
Aideen Nicholson, M.P.;1927-04-29;Dublin, Ireland;2019-05-31;executive director, social worker, teacher;5250 days [14 year(s), 4 month(s), 15 day(s)];(1974-07-08 - 1988-11-20);5250 days [14 year(s), 4 month(s), 15 day(s)];;;;;;
Alexander Malcolm Nicholson, M.P.;1900-11-25;Lucknow, Ontario, Canada;1991-10-12;farmer, clergyperson;5074 days [13 year(s), 10 month(s), 22 day(s)];(1940-03-26 - 1949-06-26)|(1953-08-10 - 1958-03-30);5074 days [13 year(s), 10 month(s), 22 day(s)];;;;;;
Donald Nicholson, M.P.;1850-03-20;Charlottetown, Prince Edward Island, Canada;1932-04-30;tobacco manufacturer;3729 days [10 year(s), 2 month(s), 16 day(s)];(1911-09-21 - 1921-12-05);3729 days [10 year(s), 2 month(s), 16 day(s)];;;;;;
George Brecken Nicholson, M.P.;1868-03-17;Crapaud, Prince Edward Island, Canada;1935-01-01 (Died in Office);lumber merchant;3389 days [9 year(s), 3 month(s), 11 day(s)];(1917-12-17 - 1921-12-05)|(1925-10-29 - 1926-09-13)|(1930-07-28 - 1935-01-01);3389 days [9 year(s), 3 month(s), 11 day(s)];;;;;;
The Hon. John Robert (Jack) Nicholson, P.C., Q.C., M.P.;1901-12-01;Newcastle, New Brunswick, Canada;1983-10-08;barrister and solicitor, lawyer;2199 days [6 year(s), 8 day(s)];(1962-06-18 - 1968-06-24);2199 days [6 year(s), 8 day(s)];;;;;;
The Hon. Rob Nicholson, P.C., K.C., M.P.;1952-04-29;Niagara Falls, Ontario, Canada;;lawyer;8931 days [24 year(s), 5 month(s), 13 day(s)];(1984-09-04 - 1993-10-24)|(2004-06-28 - 2019-10-20);8931 days [24 year(s), 5 month(s), 13 day(s)];;;;;;
Dave Nickerson, M.P.;1944-04-30;Grimsby, England;;mining engineer;3471 days [9 year(s), 6 month(s), 1 day(s)];(1979-05-22 - 1988-11-20);3471 days [9 year(s), 6 month(s), 1 day(s)];;;;;;
Carl Olof Nickle, M.P.;1914-07-12;Winnipeg, Manitoba, Canada;1990-12-05;editor, oilman, publisher;2009 days [5 year(s), 6 month(s)];(1951-12-10 - 1953-08-09)|(1953-08-10 - 1957-06-09);2009 days [5 year(s), 6 month(s)];;;;;;
William Folger Nickle, M.P.;1869-12-31;Kingston, Ontario, Canada;1957-11-15;lawyer;2847 days [7 year(s), 9 month(s), 16 day(s)];(1911-09-21 - 1919-07-07);2847 days [7 year(s), 9 month(s), 16 day(s)];;;;;;
The Hon. Jacob Nicol, Senator;1876-04-25;Roxton Pond, Quebec, Canada;1958-09-23 (Died in Office);newspaper publisher, crown prosecutor, broadcaster, lawyer;5185 days [14 year(s), 2 month(s), 11 day(s)];;;;(1944-07-14 - 1958-09-23);5185 days [14 year(s), 2 month(s), 11 day(s)];;;
Dorise Winifred Nielsen, M.P.;1902-07-30;London, England;1980-12-09;homemaker, teacher;1903 days [5 year(s), 2 month(s), 16 day(s)];(1940-03-26 - 1945-06-10);1903 days [5 year(s), 2 month(s), 16 day(s)];;;;;;
The Hon. Erik Nielsen, P.C., Q.C., M.P.;1924-02-24;Regina, Saskatchewan, Canada;2008-09-04;barrister, lawyer;10629 days [29 year(s), 1 month(s), 7 day(s)];(1957-12-16 - 1987-01-21);10629 days [29 year(s), 1 month(s), 7 day(s)];;;;Of Danish origin.;;
George Ewart Nixon, M.P.;1898-03-09;Sault Ste Marie, Ontario, Canada;1981-03-17;merchant;10318 days [28 year(s), 2 month(s), 30 day(s)];(1940-03-26 - 1968-06-24);10318 days [28 year(s), 2 month(s), 30 day(s)];;;;;;
Percy Verner Noble, M.P.;1902-12-18;Shallow Lake, Ontario, Canada;1996-06-22;mink farmer;5621 days [15 year(s), 4 month(s), 20 day(s)];(1957-06-10 - 1968-06-24)|(1968-06-25 - 1972-10-29);5621 days [15 year(s), 4 month(s), 20 day(s)];;;;;;
Aurélien Noël, M.P.;1904-09-16;Saint-Ferdinand, Quebec, Canada;1991-12-16;professor, lecturer, lawyer, chartered accountant;1981 days [5 year(s), 5 month(s), 3 day(s)];(1967-05-29 - 1968-06-24)|(1968-06-25 - 1972-10-29);1981 days [5 year(s), 5 month(s), 3 day(s)];;;;;;
The Hon. Pierre Claude Nolin, Senator;1950-10-30;Montreal, Quebec, Canada;2015-04-23 (Died in Office);lawyer;7980 days [21 year(s), 10 month(s), 6 day(s)];;;;(1993-06-18 - 2015-04-23);7980 days [21 year(s), 10 month(s), 6 day(s)];Awarded the title of Knight of the Ordre de la Pléiade in 2003.;;
Rick Norlock, M.P.;1948-03-07;Chapleau, Ontario, Canada;;police officer;3556 days [9 year(s), 8 month(s), 26 day(s)];(2006-01-23 - 2015-10-18);3556 days [9 year(s), 8 month(s), 26 day(s)];;;;;;
The Hon. Gilbert Normand, P.C., M.P.;1943-03-31;Montmagny, Quebec, Canada;2025-01-01;physician;2583 days [7 year(s), 26 day(s)];(1997-06-02 - 2004-06-27);2583 days [7 year(s), 26 day(s)];;;;;;
Christine Normandin, M.P.;1984-04-30;Saint-Jean-sur-Richelieu, Quebec, Canada;;lawyer;2382 days [6 year(s), 6 month(s), 8 day(s)];(2019-10-21 - );2382 days [6 year(s), 6 month(s), 8 day(s)];;;;;French;
The Hon. Margaret Rosamond Fawcett Norrie, Senator;1905-10-16;Upper Sackville, New Brunswick, Canada;1983-08-23;farmer, professor (assistant) - biology;3095 days [8 year(s), 5 month(s), 21 day(s)];;;;(1972-04-27 - 1980-10-16);3095 days [8 year(s), 5 month(s), 21 day(s)];;;
James Norris, M.P.;1809;Argyleshire, Scotland;1891-08-01;merchant, shipowner, miller;1610 days [4 year(s), 4 month(s), 27 day(s)];(1874-01-22 - 1874-09-08)|(1874-11-17 - 1877-04-18)|(1877-05-09 - 1878-09-16);1610 days [4 year(s), 4 month(s), 27 day(s)];;;;;;
William Barton Northrup, M.P.;1856-10-19;Belleville, Canada West;1925-10-22;lawyer;7834 days [21 year(s), 5 month(s), 12 day(s)];(1892-02-20 - 1896-06-22)|(1900-11-07 - 1917-12-16);7834 days [21 year(s), 5 month(s), 12 day(s)];;;;;;
The Hon. Jeremiah Northup, Senator;1816;Falmouth, Nova Scotia, Canada;1879-04-10 (Died in Office);merchant, shipowner;3105 days [8 year(s), 6 month(s)];;;;(1870-10-10 - 1879-04-10);3105 days [8 year(s), 6 month(s)];;;
The Hon. Joseph Northwood, Senator;1809-01-11;Westport, County Mayo, Ireland;1886-10-29 (Died in Office);manufacturer, merchant;2355 days [6 year(s), 5 month(s), 12 day(s)];;;;(1880-05-19 - 1886-10-29);2355 days [6 year(s), 5 month(s), 12 day(s)];;;
Joseph William Noseworthy, M.P.;1888-11-25;Lewisport, Newfoundland;1956-03-30 (Died in Office);teacher;3687 days [10 year(s), 1 month(s), 5 day(s)];(1942-02-09 - 1945-06-10)|(1949-06-27 - 1956-03-30);3687 days [10 year(s), 1 month(s), 5 day(s)];;;;;;
The Hon. George Clyde Nowlan, P.C., M.P.;1898-08-14;Havelock, Nova Scotia, Canada;1965-05-31 (Died in Office);barrister, lawyer;5657 days [15 year(s), 5 month(s), 26 day(s)];(1948-12-13 - 1949-06-26)|(1950-06-19 - 1953-08-09)|(1953-08-10 - 1965-05-31);5657 days [15 year(s), 5 month(s), 26 day(s)];;;;;;
John Patrick (Pat) Nowlan, M.P.;1931-11-10;Wolfville, Nova Scotia, Canada;2020-04-25;barrister, lawyer;10213 days [27 year(s), 11 month(s), 16 day(s)];(1965-11-08 - 1968-06-24)|(1968-06-25 - 1979-05-21)|(1979-05-22 - 1993-10-24);10213 days [27 year(s), 11 month(s), 16 day(s)];;;;;;
Terence James (Terry) Nugent, M.P.;1920-12-09;Taber, Alberta, Canada;2006-04-13;barrister, lawyer;3739 days [10 year(s), 2 month(s), 26 day(s)];(1958-03-31 - 1968-06-24);3739 days [10 year(s), 2 month(s), 26 day(s)];;;;;;
Osvaldo Nunez, M.P.;1938-09-10;Curico, Chile;;union advisor, arbitrator, lawyer;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;;;
José Nunez-Melo, M.P.;1956-11-13;Santo Domingo, Dominican Republic;;public servant, publisher, hotel manager;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;Steward of the Syndicat de la fonction publique du Québec.;;
John V. Nunziata, M.P.;1955-01-04;Revelstoke, British Columbia, Canada;;barrister and solicitor, lawyer;5928 days [16 year(s), 2 month(s), 23 day(s)];(1984-09-04 - 2000-11-26);5928 days [16 year(s), 2 month(s), 23 day(s)];;;;Of Italian origin.;;
The Hon. Nathan Nurgitz, Q.C., Senator;1934-06-22;Winnipeg, Manitoba, Canada;2019-10-19;lawyer;4879 days [13 year(s), 4 month(s), 9 day(s)];;;;(1979-10-03 - 1993-02-09);4879 days [13 year(s), 4 month(s), 9 day(s)];;;
Alex Nuttall, M.P.;1985-08-10;Liverpool, United Kingdom;;account manager;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;;;
Terry A. Nylander, M.P.;1946;North Battleford, Saskatchewan, Canada;;farmer;272 days [, 8 month(s), 29 day(s)];(1979-05-22 - 1980-02-17);272 days [, 8 month(s), 29 day(s)];;;;;;
The Hon. Lorne Edmund Nystrom, P.C., M.P.;1946-04-26;Wynyard, Saskatchewan, Canada;;consultant, teacher;11836 days [32 year(s), 4 month(s), 26 day(s)];(1968-06-25 - 1993-10-24)|(1997-06-02 - 1998-06-17)|(1998-06-18 - 2004-06-27);11836 days [32 year(s), 4 month(s), 26 day(s)];;;;;;
The Hon. James O'Brien, Senator;1836-08-03;Aughnagar, County Tyrone, Ireland;1903-05-28 (Died in Office);merchant, wholesaler;2703 days [7 year(s), 4 month(s), 24 day(s)];;;;(1896-01-02 - 1903-05-28);2703 days [7 year(s), 4 month(s), 24 day(s)];;;
The Hon. Joseph Leonard O'Brien, M.P.;1895-11-06;South Nelson, New Brunswick, Canada;1973-06-18;lumber merchant;1903 days [5 year(s), 2 month(s), 16 day(s)];(1940-03-26 - 1945-06-10);1903 days [5 year(s), 2 month(s), 16 day(s)];;;;;;
Lawrence D. O'Brien, M.P.;1951-03-31;L'Anse au Loup, Newfoundland and Labrador, Canada;2004-12-16 (Died in Office);adult education instructor, public servant, teacher;3189 days [8 year(s), 8 month(s), 24 day(s)];(1996-03-25 - 2004-12-16);3189 days [8 year(s), 8 month(s), 24 day(s)];;;;Of Métis origin.;;
The Hon. Michael John O'Brien, Senator;1851-09-19;Lochaber, Nova Scotia, Canada;1940-11-26;contractor;2558 days [7 year(s), 1 day(s)];;;;(1918-09-01 - 1925-09-01);2558 days [7 year(s), 1 day(s)];;;
Pat O'Brien, M.P.;1948-01-13;London, Ontario, Canada;;athlete, teacher, coach;4473 days [12 year(s), 2 month(s), 29 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2006-01-22);4473 days [12 year(s), 2 month(s), 29 day(s)];;;;;;
